#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
304,51957,426,0.05211984,,0.03632782,114.0749,-0.8619205,0.5207111,0.45511,0.8740163
394,51913,363,0.1038223,,0.02405703,10.95932,-0.2289201,1.067335,0.6374867,0.5972697
476,52314,523,0.05026412,STARBURST BROADLINE,0.06889841,3685.079,-28.08086,0.642544,1.306788,2.033772
502,51957,557,0.2201104,STARBURST BROADLINE,0.06144398,832.4188,-13.21841,0.4174479,0.8785526,2.10458
539,52017,586,0.1346648,BROADLINE,0.05099057,2292.539,-13.14289,0.4132285,0.8404432,2.033846
1223,52781,471,0.05014781,STARBURST BROADLINE,0.02880776,3397.969,-22.88305,0.8385926,1.768904,2.109372
1419,53144,552,0.09733227,STARBURST BROADLINE,0.0167305,2022.419,-11.93944,1.025839,2.115869,2.062574
1923,53319,382,0.1395377,STARBURST BROADLINE,0.03154486,3421.211,-30.15136,0.1661138,0.4056597,2.44206
2246,53767,66,0.0863796,AGN BROADLINE,0.01130901,2033.969,-13.28217,0.5015432,0.9016601,1.797772
2481,54086,393,0.0677386,,0.02641489,-3.14879,-0.09899226,-3.663554,2.560989,-0.6990449
2783,54524,220,0.05502648,,0.01821248,51.18768,-0.6243421,0.6273425,0.6754051,1.076613
607,52368,625,0.2755408,STARBURST BROADLINE,0.01909766,1777.994,-26.61959,0.4925191,1.118364,2.270702
827,52312,23,0.09166554,BROADLINE,0.03551636,1084.483,-5.900719,3.469231,4.04778,1.166766
2016,53799,61,0.1829528,STARBURST BROADLINE,0.01161656,1984.522,-7.393268,1.205465,1.890834,1.568551
2229,53823,484,0.1674174,BROADLINE,0.02117208,759.5152,-10.45688,0.4054109,0.662433,1.633979
2617,54502,143,0.2217153,STARBURST BROADLINE,0.02738428,1593.179,-24.37148,0.3409975,0.7274879,2.133412
394,51913,187,0.05584501,,0.0331967,25.58339,-0.3823562,0.7748675,1.496971,1.931905
434,51885,530,0.06718703,,0.04703106,18.54512,-0.2170125,1.295815,2.237752,1.726908
564,52224,214,0.05059979,BROADLINE,0.0461428,71.2141,-0.7466235,0.6809488,1.031576,1.51491
2102,54115,509,0.05811804,,0.01184179,36.84772,-0.4379579,0.8323577,0.9700864,1.165468
2239,53726,386,0.06224259,,0.01479737,18.03467,-0.1961063,2.289681,1.178891,0.5148712
2425,54139,243,0.09495958,STARBURST BROADLINE,0.03617373,468.8044,-9.700706,0.8091443,1.337792,1.653342
1058,52520,379,0.204809,STARBURST BROADLINE,0.02150116,2409.323,-16.9973,0.3135245,0.6717112,2.142452
1272,52989,539,0.05076645,,0.02436521,50.46987,-0.4699351,0.9649365,0.9215587,0.9550459
1601,53115,118,0.1337497,STARBURST BROADLINE,0.02868453,3727.647,-19.79977,0.6198953,1.33615,2.155445
2341,53738,456,0.051523,,0.02354283,37.60495,-0.4526071,0.8842926,0.848797,0.9598599
